,NAME,COHORT,DESCRIPTION
326,Invocable,w2018,Invocable helps designers create and test high-fidelity voice prototypes in minutes. No code needed.
327,Jido Maps,w2018,A lightweight API for persistent augmented reality.
328,Juni Learning,w2018,The best online education program for kids
329,Key Values,w2018,Helping software developers find teams that share their values.
330,Lambda Tea,w2018,We build self-serve bubble tea dispensers! :D
331,Lawyaw,w2018,"Lawyaw automatically converts your internal businesses and legal documents into smart templates, saving you time, money, and the embarassement of careless errors."
332,LetsDoThis.com,w2018,marketplace for endurance events
333,Lightout,w2018,Hypertargeted Outdoor Advertising
334,Look After My Bills,w2018,"Personal fintech - we optimise your bills, every year, automatically."
335,LUS Brands,w2018,Hair care products for curly hair.
336,Macromoltek,w2018,Software for antibody modeling and analysis
337,Medumo,w2018,We manage patient instructions for hospitals
338,Meitre,w2018,"Opentable for the world's top restaurants; we help them increase profit as much as 30% by optimizing table allocation, prioritizing high margin bookings at peak hours, and eliminating no-shows using tickets, deposits and credit card guarantees."
339,Memora Health,w2018,Efficiency software that automates patient follow-up and improves nursing operations in hospitals
341,Mirror AI,w2018,App that turns selfie photos into thousand emoji that look like you and your friends.
342,Modern Health,w2018,Modern Health is a mental health benefits platform for employers. We are the only solution to cover the full spectrum of mental well-being needs through both evidence-based technology and professional support from a coach or therapist.
343,mojo,w2018,Create stunning Video Stories
344,Naborly,w2018,"AI powered credit scoring, underwriting, and insurance for the real estate industry."
345,Necto,w2018,ISP starter kit
346,Nectome,w2018,Building a way to preserve long-term memories.
347,NewCraft,w2018,A new hiring signal that sources competing job and acquihire offers for candidates
348,Newfront Insurance,w2018,Newfront (W18) is the modern insurance brokerage that leverages technology to vastly simplify the buying process for businesses and the selling process for brokers.
350,Nutrigene,w2018,Personalized liquid supplements based your health data
351,Nuvocargo,w2018,Tech-enabled freight forwarding & customs between Mexico and USA.
352,Observant,w2018,Observant makes driver monitoring technology for autonomous vehicle safety drivers.
353,observe.ai,w2018,"Automating Quality Assurance(QA) process in Call Centers, leading to 60% reduction in QA cost and 8X increase in the monitoring coverage."
354,Obsidian Labs,w2018,Obsidian Labs focus on building blockchain products and developer tools for dApp ecosystem.
355,onederful,w2018,API for dental insurance
356,Openland,w2018,Professional messenger to talk with people outside of your organization
357,OpenSea,w2018,"OpenSea is the first and largest marketplace for digital collectibles, which include gaming items, digital art, and other virtual goods backed by a blockchain. On OpenSea, anyone can buy or sell these items using smart contracts."
358,Orangewood Labs,w2018,Orangewood Labs makes beautiful furniture quickly using robots.
359,OSIMple,w2018,Software for inspectors to automate their paper workflow.
361,Ovipost,w2018,Ovipost automates insect production
362,Pagedraw,w2018,"Pagedraw is a platform for productionizing designs into code. Thanks to Pagedraw, no one will ever have to learn HTML or CSS again, even for the most complex apps."
363,Passerine Aircraft,w2018,Passerine Aircraft is building the next generation of drones We are developing autonomous fixed wing aircraft capable of taking-off and landing like birds.
364,Patchd Medical,w2018,Wearable devices which use Deep Neural Networks to predict and prevent sepsis (the #1 cause of hospital death).
365,Pathrise,w2018,YC for your career
366,Persephone Biome,w2018,We are using the gut microbiome to cure cancer.
367,Playbook,w2018,We make it easy to hang out with college students around you.
368,Players' Lounge,w2018,A marketplace to play video games against other people for money.
369,Point API,w2018,Point predicts what you want to say and helps you write it in your own voice immediately.
370,Precious,w2018,AI to curate your baby photos
371,Promise,w2018,"Promise helps government agencies better meet the needs of people in the criminal justice system. Our technology supports just & equitable alternatives to incarceration, helps people navigate the criminal justice system, and reduces recidivism rates"
372,Proof,w2018,Proof Helps You Increase Website Conversions Through Personalized Social Proof.
373,Proven,w2018,"Proven is building personalization to e-commerce with technology. We’re launching in September 2018, fresh out of YCombinator, pre-series A with a killer Exec Team. Our mission is to revolutionize CPG that has fallen asleep at the wheel."
374,Psylaris,w2018,"We use VR to automate mental health techniques for B2C. Our mobile VR app reduces negative mood, anxiety, and stress, without the need for a therapist. Using insights from neuroscience and psychology, we improve your mental state and performance."
375,Pulse,w2018,We're crowdsourced Gartner so IT executives can learn directly from each other via simple Q&A instead of pay-to-play analyst reports. We're building the future $1T marketplace where enterprise buyers discover and buy technology.
376,Quantierra,w2018,Sourcing investment real estate
377,Quantstamp,w2018,Security auditing for blockchain smart contracts
378,Quit Genius,w2018,A mobile app that delivers personalised therapy to help people quit smoking.
379,Qulture.Rocks,w2018,"Qulture.Rocks helps mid-sized companies implement 1:1s, goals, feedbacks and performance reviews in a heartbeat, with consumer-grade technology and hands on content that makes the process much easier. Our goal is to build Namely for Latin America."
380,Repl.it,w2018,"In 2 seconds, boot up an online programming environment for your favorite language."
381,Reverie Labs,w2018,"Building a pharma company from scratch, using machine learning."
382,Rhythmm,w2018,Read interesting conversations
383,Runa HR,w2018,"Automating payroll for Latin America. Our software platform includes: payroll, employee management, time tracking and reporting."
384,SafetyWing,w2018,Global social safety net
385,SharpestMinds,w2018,We connect top students and recent grads to businesses for internships in machine learning that lead to full-time jobs.
386,Sheertex,w2018,The world's strongest sheer knit. Makers of the world's toughest pantyhose.
387,Shogun,w2018,eCommerce Storefront Builder.
388,Shone,w2018,Shone makes existing cargo ships autonomous through retrofit.
389,Simetrik,w2018,"Simetrik is a universal reconciliator: software that extracts, cleans, normalizes, filters and reconciles transactions to maintain a TRUSTED SOURCE OF TRUTH for transactional data & focus on making it useful through accurate reports and integrations."
390,Sixfold Bioscience,w2018,Nanoparticles to deliver cancer cures.
391,Sketchbox,w2018,Photoshop for AR & VR
392,Skip,w2018,Electric scooters for reliable last-mile transportation.
393,Slite,w2018,The note app for teams
394,Snackpass,w2018,"Skip the line at restaurants, collect points and send gifts to friends 🎁"
395,Sourcify,w2018,Sourcify is the fastest growing sourcing platform that helps hundreds of companies manufacture products around the world.
396,Sqreen,w2018,Sqreen revolutionizes the way engineering teams protect their apps & customers against attacks.
397,Squad,w2018,Squad is a face-to-face messenger for sharing your phone screen with friends
398,Station,w2018,Station is building the browser for work. It is a native desktop application unifying within a single interface all of the web applications used by an employee at work.
399,Substack,w2018,The platform for subscription publishing
400,Sudden Coffee,w2018,Crystallized coffee that's better than fresh Starbucks
401,Super,w2018,Super is an agent-led commerce app for Indonesia
402,Supermedium,w2018,Browser for the VR Internet. Surf thousands of VR apps on the Web without having to install any of them.
403,Swayable,w2018,"Swayable measures how media content changes minds, so advocacy organizations and brands can dramatically improve ROI."
404,Tarjimly,w2018,"Tarjimly connects refugees and aid workers with realtime translators using Facebook Messenger. We allow bilinguals to volunteer their language skills to help refugees and immigrants struggling to communicate with doctors, lawyers, and NGOs."
